htv_channel_dm.deviceid	htv_channel_dm.channelname	htv_channel_dm.play_duration	htv_channel_dm.date_time
视	49.0	NULL	20210901
005801FF0001005005D300692D37D4CD	黑龙江卫视	58.0	20210901
005801FF0001005005D300692D37D4E7	CCTV1	268.0	20210901
005801FF0001005005D300692D37D4E7	CCTV4	1.0	20210901
005801FF0001005005D300692D37D4E7	CCTV5	1.0	20210901
005801FF0001005005D300692D37D4E7	CCTV7	12.0	20210901
005801FF0001005005D300692D37D4E7	CCTV9	59.0	20210901
005801FF0001005005D300692D37D4E7	东南卫	NULL	20210901
视	1.0	NULL	20210901
005801FF0001005005D300692D37D4E7	天津卫	NULL	20210901
视	1.0	NULL	20210901
005801FF0001005005D300692D37D4E7	山西卫	NULL	20210901
视	0.0	NULL	20210901
005801FF0001005005D300692D37D4E7	江西卫	NULL	20210901
视	0.0	NULL	20210901
005801FF0001005005D300692D37D4EA	CCTV17	0.0	20210901
005801FF0001005005D300692D37D4EA	CCTV5	1281.0	20210901
005801FF0001005005D300692D37D4EA	CCTV7	1.0	20210901
005801FF0001005005D300692D37D4EA	重庆卫	NULL	20210901
视	1.0	NULL	20210901
