htv_content_prefer_dm.deviceid	htv_content_prefer_dm.contenttype	htv_content_prefer_dm.hourtype	htv_content_prefer_dm.ranks	htv_content_prefer_dm.date_time
005801FF0001005005D300692D37F39F	动漫	1	1	20210901
005801FF0001005005D300692D37F39F	动漫	4	1	20210901
005801FF0001005005D300692D37F3D1	电视剧	1	1	20210901
005801FF0001005005D300692D37F3D1	电视剧	2	1	20210901
005801FF0001005005D300692D37F3D1	电视剧	3	1	20210901
005801FF0001005005D300692D37F3D1	电视剧	4	1	20210901
005801FF0001005005D300692D37F3F1	电视剧	1	1	20210901
005801FF0001005005D300692D37F3F1	电视剧	3	1	20210901
005801FF0001005005D300692D37F3F1	电视剧	4	1	20210901
005801FF0001005005D300692D37F42D	电视剧	1	1	20210901
005801FF0001005005D300692D37F42D	电视剧	3	1	20210901
005801FF0001005005D300692D37F4DB	电视剧	1	1	20210901
005801FF0001005005D300692D37F4DB	电视剧	2	1	20210901
005801FF0001005005D300692D37F587	电视剧	3	1	20210901
005801FF0001005005D300692D37F6D7	新闻	1	1	20210901
005801FF0001005005D300692D37F6D7	新闻	3	1	20210901
005801FF0001005005D300692D37F7E1	动漫	1	1	20210901
005801FF0001005005D300692D37F7E1	电视剧	1	2	20210901
005801FF0001005005D300692D37F7E6	电影	1	1	20210901
005801FF0001005005D300692D37F7E6	综艺	1	2	20210901
005801FF0001005005D300692D37F7E6	综艺	2	1	20210901
005801FF0001005005D300692D37F7E6	电影	2	2	20210901
005801FF0001005005D300692D37F803	电视剧	2	1	20210901
005801FF0001005005D300692D37F85E	动漫	1	1	20210901
005801FF0001005005D300692D37F85E	动漫	3	1	20210901
005801FF0001005005D300692D37F85E	动漫	4	1	20210901
005801FF0001005005D300692D37F8BF	少儿	1	1	20210901
005801FF0001005005D300692D37F8CB	综艺	1	1	20210901
005801FF0001005005D300692D37F8D0	动漫	1	1	20210901
005801FF0001005005D300692D37F8D0	综艺	1	2	20210901
005801FF0001005005D300692D37F937	电视剧	4	1	20210901
005801FF0001005005D300692D37FA3E	电视剧	4	1	20210901
005801FF0001005005D300692D37FA98	综艺	1	1	20210901
005801FF0001005005D300692D37FA98	综艺	4	1	20210901
005801FF0001005005D300692D37FB72	电视剧	1	1	20210901
005801FF0001005005D300692D37FBB8	动漫	1	1	20210901
005801FF0001005005D300692D37FBB8	动漫	2	1	20210901
005801FF0001005005D300692D37FBB8	动漫	3	1	20210901
005801FF0001005005D300692D37FBB8	动漫	4	1	20210901
005801FF0001005005D300692D37FBDA	电视剧	1	1	20210901
005801FF0001005005D300692D37FBDA	电视剧	2	1	20210901
005801FF0001005005D300692D37FBDA	电视剧	3	1	20210901
005801FF0001005005D300692D37FBDA	电视剧	4	1	20210901
005801FF0001005005D300692D37FC51	电视剧	1	1	20210901
005801FF0001005005D300692D37FC51	电视剧	4	1	20210901
005801FF0001005005D300692D37FCA3	综艺	4	1	20210901
005801FF0001005005D300692D37FCB7	电视剧	1	1	20210901
005801FF0001005005D300692D37FCB7	电视剧	4	1	20210901
005801FF0001005005D300692D37FCBD	电视剧	1	1	20210901
005801FF0001005005D300692D37FD39	动漫	1	1	20210901
005801FF0001005005D300692D37FD39	动漫	3	1	20210901
005801FF0001005005D300692D37FD39	动漫	4	1	20210901
005801FF0001005005D300692D37FD4B	电视剧	1	1	20210901
005801FF0001005005D300692D37FD4B	综艺	1	2	20210901
005801FF0001005005D300692D37FD4B	综艺	3	1	20210901
005801FF0001005005D300692D37FD4B	电视剧	3	2	20210901
005801FF0001005005D300692D37FD4B	电视剧	4	1	20210901
005801FF0001005005D300692D37FD90	电视剧	1	1	20210901
005801FF0001005005D300692D37FE3A	综艺	2	1	20210901
005801FF0001005005D300692D37FE3A	综艺	3	1	20210901
