htv_tv_order_dm.deviceid	htv_tv_order_dm.tv_light_not_order	htv_tv_order_dm.tv_middle_not_order	htv_tv_order_dm.tv_high_not_order	htv_tv_order_dm.date_time
005801FF0001005006D400692D3DA809	0	1	0	20210901
005801FF0001005006D400692D3DA80E	0	1	0	20210901
005801FF0001005006D400692D3DA819	0	0	1	20210901
005801FF0001005006D400692D3DA81A	0	1	0	20210901
005801FF0001005006D400692D3DA838	0	0	1	20210901
005801FF0001005006D400692D3DA840	0	0	1	20210901
005801FF0001005006D400692D3DA849	0	0	1	20210901
005801FF0001005006D400692D3DA868	1	0	0	20210901
005801FF0001005006D400692D3DA910	0	1	0	20210901
005801FF0001005006D400692D3DA91D	0	0	1	20210901
005801FF0001005006D400692D3DA93C	0	1	0	20210901
005801FF0001005006D400692D3DA97C	1	0	0	20210901
005801FF0001005006D400692D3DA9AF	0	1	0	20210901
005801FF0001005006D400692D3DA9CE	0	0	1	20210901
005801FF0001005006D400692D3DAA44	0	0	1	20210901
005801FF0001005006D400692D3DAA8A	1	0	0	20210901
005801FF0001005006D400692D3DAC77	0	0	1	20210901
005801FF0001005006D400692D3DACBF	1	0	0	20210901
005801FF0001005006D400692D3DACEC	0	0	1	20210901
005801FF0001005006D400692D3DAD27	0	0	1	20210901
005801FF0001005006D400692D3DAD72	0	0	1	20210901
005801FF0001005006D400692D3DADA5	1	0	0	20210901
005801FF0001005006D400692D3DADF5	0	1	0	20210901
005801FF0001005006D400692D3DAE58	0	1	0	20210901
005801FF0001005006D400692D3DAE70	1	0	0	20210901
005801FF0001005006D400692D3DAE99	1	0	0	20210901
005801FF0001005006D400692D3DAE9C	0	1	0	20210901
005801FF0001005006D400692D3DAEB3	0	0	1	20210901
005801FF0001005006D400692D3DAEDA	1	0	0	20210901
005801FF0001005006D400692D3DAF99	1	0	0	20210901
005801FF0001005006D400692D3DAFCA	0	0	1	20210901
005801FF0001005006D400692D3DB07E	1	0	0	20210901
005801FF0001005006D400692D3DB116	1	0	0	20210901
005801FF0001005006D400692D3DB220	0	0	1	20210901
005801FF0001005006D400692D3DB224	0	0	1	20210901
005801FF0001005006D400692D3DB27E	1	0	0	20210901
005801FF0001005006D400692D3DB285	0	1	0	20210901
005801FF0001005006D400692D3DB28E	1	0	0	20210901
005801FF0001005006D400692D3DB2DC	0	0	1	20210901
005801FF0001005006D400692D3DB2FC	0	0	1	20210901
005801FF0001005006D400692D3DB357	1	0	0	20210901
005801FF0001005006D400692D3DB3D9	0	0	1	20210901
005801FF0001005006D400692D3DB4FA	0	0	1	20210901
005801FF0001005006D400692D3DB64E	0	1	0	20210901
005801FF0001005006D400692D3DB664	1	0	0	20210901
005801FF0001005006D400692D3DB772	1	0	0	20210901
005801FF0001005006D400692D3DB82C	1	0	0	20210901
005801FF0001005006D400692D3DB856	0	0	1	20210901
005801FF0001005006D400692D3DB88C	0	1	0	20210901
005801FF0001005006D400692D3DB8A5	0	1	0	20210901
005801FF0001005006D400692D3DB989	1	0	0	20210901
005801FF0001005006D400692D3DB9C0	1	0	0	20210901
005801FF0001005006D400692D3DBB9A	0	1	0	20210901
005801FF0001005006D400692D3DBC44	0	1	0	20210901
005801FF0001005006D400692D3DBC4E	1	0	0	20210901
005801FF0001005006D400692D3DBDA5	0	0	1	20210901
005801FF0001005006D400692D3DBE7C	0	1	0	20210901
005801FF0001005006D400692D3DBE9B	0	0	1	20210901
005801FF0001005006D400692D3DC01F	0	0	1	20210901
005801FF0001005006D400692D3DC14A	0	1	0	20210901
005801FF0001005006D400692D3DC1FE	1	0	0	20210901
005801FF0001005006D400692D3DC2F1	1	0	0	20210901
005801FF00010050F6E52C43BE5C9F2D	0	0	1	20210901
005801FF00010050F6E52C43BE5C9F43	0	0	1	20210901
005801FF00010050F6E52C43BE5C9F76	0	1	0	20210901
005801FF00010050F6E52C43BE5CA013	1	0	0	20210901
005801FF00010050F6E52C43BE5CA127	1	0	0	20210901
005801FF00010050F6E52C43BE5CA12A	0	1	0	20210901
005801FF00010050F6E52C43BE5CA17A	0	1	0	20210901
005801FF00010050F6E52C43BE5CA1BD	0	1	0	20210901
005801FF00010050F6E52C43BE5CA27C	0	1	0	20210901
005801FF00010050F6E52C43BE5CA305	0	0	1	20210901
005801FF00010050F6E52C43BE5CA360	0	1	0	20210901
005801FF00010050F6E52C43BE5CA4E1	1	0	0	20210901
005801FF00010050F6E52C43BE5CA515	0	1	0	20210901
005801FF00010050F6E52C43BE5CA531	0	0	1	20210901
005801FF00010050F6E52C43BE5CA585	0	1	0	20210901
005801FF00010050F6E52C43BE5CA5CF	0	0	1	20210901
005801FF00010050F6E52C43BE5CA5E9	0	1	0	20210901
005801FF00010050F6E52C43BE5CA5F2	0	0	1	20210901
005801FF00010050F6E52C43BE5CA669	1	0	0	20210901
005801FF00010050F6E52C43BE5CA694	0	1	0	20210901
005801FF00010050F6E52C43BE5CA6D7	1	0	0	20210901
005801FF00010050F6E52C43BE5CA7C5	1	0	0	20210901
005801FF00010050F6E52C43BE5CA801	0	0	1	20210901
005801FF00010050F6E52C43BE5CA806	1	0	0	20210901
005801FF00010050F6E52C43BE5CA934	1	0	0	20210901
005801FF00010050F6E52C43BE5CA938	1	0	0	20210901
005801FF00010050F6E52C43BE5CAA03	0	0	1	20210901
005801FF00010050F6E52C43BE5CAA2D	0	1	0	20210901
005801FF00010050F6E52C43BE5CAA2F	0	0	1	20210901
005801FF00010050F6E52C43BE5CAA55	0	1	0	20210901
005801FF00010050F6E52C43BE5CAA59	0	0	1	20210901
005801FF00010050F6E52C43BE5CAA65	0	1	0	20210901
005801FF00010050F6E52C43BE5CAA6F	0	0	1	20210901
005801FF00010050F6E52C43BE5CAB09	0	1	0	20210901
005801FF00010050F6E52C43BE5CAB38	0	1	0	20210901
005801FF00010050F6E52C43BE5CAB8E	0	0	1	20210901
005801FF00010050F6E52C43BE5CAC8B	0	0	1	20210901
005801FF00010050F6E52C43BE5CAC9F	1	0	0	20210901
005801FF00010050F6E52C43BE5CADE8	0	0	1	20210901
005801FF00010050F6E52C43BE5CAEA5	0	0	1	20210901
005801FF00010050F6E52C43BE5CAEA8	0	0	1	20210901
005801FF00010050F6E52C43BE5CAF48	0	1	0	20210901
005801FF00010050F6E52C43BE5CAF79	1	0	0	20210901
005801FF00010050F6E52C43BE5CAFCF	1	0	0	20210901
005801FF00010050F6E52C43BE5CB23F	1	0	0	20210901
005801FF00010050F6E52C43BE5CB2ED	1	0	0	20210901
005801FF00010050F6E52C43BE5CB3D1	0	0	1	20210901
005801FF00010050F6E52C43BE5CB426	0	1	0	20210901
005801FF00010050F6E52C43BE5CB449	0	1	0	20210901
005801FF00010050F6E52C43BE5CB461	0	0	1	20210901
005801FF00010050F6E52C43BE5CB473	0	0	1	20210901
005801FF00010050F6E52C43BE5CB4B4	0	1	0	20210901
005801FF00010050F6E52C43BE5CB4E6	0	0	1	20210901
005801FF00010050F6E52C43BE5CB53C	1	0	0	20210901
005801FF00010050F6E52C43BE5CB553	0	1	0	20210901
005801FF00010050F6E52C43BE5CB5B7	1	0	0	20210901
005801FF00010050F6E52C43BE5CB5C5	0	0	1	20210901
005801FF00010050F6E52C43BE5CB606	0	1	0	20210901
005801FF00010050F6E52C43BE5CB60F	1	0	0	20210901
005801FF00010050F6E52C43BE5CB6B8	1	0	0	20210901
005801FF00010050F6E52C43BE5CB6C4	0	0	1	20210901
005801FF00010050F6E52C43BE5CB701	0	0	1	20210901
005801FF00010050F6E52C43BE5CB733	0	1	0	20210901
005801FF00010050F6E52C43BE5CB78C	0	0	1	20210901
005801FF00010050F6E52C43BE5CB7B9	0	0	1	20210901
005801FF00010050F6E52C43BE5CB848	0	0	1	20210901
005801FF00010050F6E52C43BE5CB860	1	0	0	20210901
005801FF00010050F6E52C43BE5CB861	1	0	0	20210901
005801FF00010050F6E52C43BE5CB878	0	0	1	20210901
005801FF00010050F6E52C43BE5CB8AD	1	0	0	20210901
005801FF00010050F6E52C43BE5CB941	0	0	1	20210901
005801FF00010050F6E52C43BE5CBA6D	1	0	0	20210901
005801FF00010050F6E52C43BE5CBACF	0	0	1	20210901
005801FF00010050F6E52C43BE5CBB30	0	0	1	20210901
005801FF00010050F6E52C43BE5CBB39	0	0	1	20210901
005801FF00010050F6E52C43BE5CBB52	1	0	0	20210901
005801FF00010050F6E52C43BE5CBB79	0	0	1	20210901
005801FF00010050F6E52C43BE5CBB96	0	1	0	20210901
